fit_tier,priority,company,legal_name,usdot,power_units,drivers,officer,phone,email,city,state,zip,address,safety_rating,hazmat,classdef,fit_score,suggested_plan,add_on,outreach_angle,safer_url
Starter,High,EMPIRE WAREHOUSE INC,EMPIRE WAREHOUSE INC,619,9,8,THOMAS F LEE,3037769500,MYOCKEY@EMPIRE-WAREHOUSE.COM,DENVER,CO,80239,11701 E 53RD AVE,S,No,AUTHORIZED FOR HIRE,95,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=619
Starter,Medium,CHRISTENSEN TRUCKING INC,CHRISTENSEN TRUCKING INC,651,7,6,BRETT ZIKMUND,3085362405,,FULLERTON,NE,68638,2967 HWY 14,C,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE;EXEMPT FOR HIRE,110,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=651
Starter,Medium,EBEL TRANSFER INC,EBEL TRANSFER INC,702,5,4,MARK EBEL,4023722481,mebel@gpcom.net,WEST POINT,NE,68788,212 W SHERMAN ST,S,No,AUTHORIZED FOR HIRE,95,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=702
Growth,Medium,EVELAND SUPPLY CO,EVELAND SUPPLY CO INC,716,13,9,SCOTT EVELAND,4026643200,evesupco@gpcom.net,SCRIBNER,NE,68057,710 COUNTY ROAD 14,None listed,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,65,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=716
Growth,Medium,ALBERT FARMS INC,ALBERT FARMS INC,717,16,25,JEFFREY ALBERT,2077284318,accounting@evergreen99.com,MADAWASKA,ME,04756,791 MAIN STREET,S,No,AUTHORIZED FOR HIRE,95,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=717
Starter,Medium,FOLTZ BROTHERS INC,FOLTZ BROTHERS INC,726,6,6,ROBERT A. FOLTZ,4029230166,jkfoltZ@telebeep.com,HUMPHREY,NE,68642-0525,31900 STATE HWY 91,S,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE;EXEMPT FOR HIRE,65,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=726
Fleet,Medium,FREMONT CONTRACT CARRIERS INC,FREMONT CONTRACT CARRIERS INC,733,386,351,TRAVIS  MINNICK,4027213020,travis.minnick@fcc-inc.com,FREMONT,NE,68025,865 BUD BOULEVARD,S,No,AUTHORIZED FOR HIRE,120,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=733
Fleet,Medium,GROSCH IRRIGATION CO INC,GROSCH IRRIGATION CO INC,761,87,39,DICK GROSCH,4023361438,dick@groschirrigation.com,ONEILL,NE,68763,114 N 6TH ST,S,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,90,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=761
Starter,Medium,MITZEL & SONS INC,MITZEL & SONS INC,812,6,6,DON MITZEL,6052257464,amywipf1389@gmail.com,ABERDEEN,SD,57401,38391 US HWY 12,None listed,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,65,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=812
Growth,Medium,MOYLE PETROLEUM COMPANY,MOYLE PETROLEUM COMPANY,835,16,10,DERECK A BUDAHL,6053431966,JSULLIVAN@COMMONCENTSSTORES.COM,RAPID CITY,SD,57702,2504 W MAIN ST,S,Yes,AUTHORIZED FOR HIRE,65,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=835
Growth,Medium,HILLS PRODUCTS GROUP INC,HILLS PRODUCTS GROUP INC,881,13,5,BRAD  HAMMERBECK,6053943310,marilynh@hillspg.com,RAPID CITY,SD,57701,314 FOUNDERS PARK DR,S,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,60,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=881
Growth,Medium,OPPERMAN INC,OPPERMAN INC,920,19,11,JEFFREY OPPERMAN,6058358578,joleneopperman@hotmail.com,GREGORY,SD,57533,908 EAST 14TH ST,None listed,Yes,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,65,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=920
Starter,Medium,OUELLETTE TRUCKING INC,OUELLETTE TRUCKING INC,923,8,8,SHERI OUELLETTE,6056779067,ouellettetrucking@hotmail.com,VERMILLION,SD,57069,2704 E HWY 50,None listed,Yes,AUTHORIZED FOR HIRE,90,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=923
Growth,Medium,HEARTLAND PAPER CO,CHRIS CAM CORPORATION,943,19,21,SANDRA  CHRISTENSON,6053361190,,SIOUX FALLS,SD,57104,808 WEST CHEROKEE,None listed,Yes,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,85,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=943
Starter,Medium,PARKER,PARKER TRANSFER AND STORAGE INC,945,5,4,JOEL PARKER,6053363118,joel@PARKERTRANSFER.COM,SIOUX FALLS,SD,57104-0211,1700 N F AVENUE,S,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,95,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=945
Starter,Medium,PERKINS STORAGE & TRANSFER CO INC,PERKINS STORAGE & TRANSFER CO INC,969,5,15,SUSAN R SCHMIDT,6056922041,PerkinsFMCSA@outlook.com,BROOKINGS,SD,57006,416 3RD AVE,S,Yes,AUTHORIZED FOR HIRE,95,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=969
Starter,Medium,RICH GRANT TRUCKING CO,RICH GRANT TRUCKING CO,1044,10,10,RICH GRANT,8016217370,RICHGRANTTRUCKING@HOTMAIL.COM,OGDEN,UT,84401,910 W 24TH STREET,S,No,AUTHORIZED FOR HIRE,120,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1044
Growth,Medium,RMC FOODS INC,RMC FOODS INC,1114,38,41,LAMOND H GUBLER,4356733583,montg@rmcfoods.com,SAINT GEORGE,UT,84770-3126,825 NORTH INDUSTRIAL RD,None listed,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,95,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1114
Fleet,High,KOMATSU,KOMATSU AMERICA CORP,1115,52,49,DANIEL G. MAWSON,7757484637,daniel.mawson@global.komatsu,CHICAGO,IL,60631,8770 W BRYN MAWR AVE SUITE 100,S,Yes,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,65,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1115
Fleet,Medium,NICHOLAS & CO INC,NICHOLAS & CO INC,1122,148,205,BRIAN MAY,8015311100,RANDALL.AMES@nicholasandco.com,SALT LAKE CITY,UT,84116-0000,5520 HAROLD GATTY DRIVE,S,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,95,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1122
Starter,Medium,ROBERT E WELLS INC,ROBERT E WELLS INC,1283,5,3,CLAY R WELLS,8012552407,wellshousemovers@hotmail.com,WEST JORDAN,UT,84088-9438,1369 W 7900 S,None listed,No,OTHER-UNKNOWN;AUTHORIZED FOR HIRE,95,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1283
Fleet,Medium,ICM SOLUTIONS WHEELER POWER SYSTEMS HERITAGE IND DIAMOND EQUIPMENT RENTAL,WHEELER MACHINERY CO,1302,204,161,MICHELE MCDERMAID,8019781802,mmcdermaid@campbellcompanies.com,SALT LAKE CITY,UT,84120,4901 WEST 2100 SOUTH,S,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,95,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1302
Fleet,Medium,RUDE TRANSPORTATION INC,RUDE TRANSPORTATION INC,1391,68,62,DANA  J DRAISEY,6053356575,ddraisey@rudetransportation.com,SIOUX FALLS,SD,57107-0542,200 S MARION RD,S,Yes,AUTHORIZED FOR HIRE,120,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1391
Growth,Medium,DAN SCHROEDERMEIER TRUCKING INC,DAN SCHROEDERMEIER TRUCKING INC,1440,18,18,DAN SCHROEDERMEIER,6057632087,cschroed27@gmail.com,BERESFORD,SD,57004-1504,210 N 16TH STREET,S,No,AUTHORIZED FOR HIRE,120,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1440
Fleet,Medium,TUCKER FREIGHT LINES INC,ART PAPE TRANSFER INC,1674,340,310,SAUNYA  TUCKER,5635881435,compliance@tuckerfreight.com,DUBUQUE,IA,52001,1080 EAST 12TH STREET,S,No,AUTHORIZED FOR HIRE,120,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1674
Starter,Medium,TRANSPORT SALES CO - RAINBO OIL,RAINBO OIL COMPANY-TRANSPORT SALES COMPANY,1719,9,6,PAUL FAHEY,5635827291,heatherh@rainbolubes.com,DUBUQUE,IA,52001,2255 KERPER BLVD,S,Yes,PRIVATE PROPERTY,50,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1719
Growth,Medium,SEEGERS TRUCK LINE INC,SEEGERS TRUCK LINE INC,1783,15,13,BRYCE  F SEEGERS,3199845163,jaclyn@seegerstruckline.com,DENVER,IA,50622-1017,727 S STATE ST,S,Yes,AUTHORIZED FOR HIRE,120,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1783
Fleet,Medium,WARREN TRANSPORT INC,WARREN TRANSPORT INC,1896,343,340,LANCE VOTROUBEK,3192336113,BCAUGHRON@WARRENTRANSPORT.COM,WATERLOO,IA,50701,3124 TITAN TRAIL,S,Yes,AUTHORIZED FOR HIRE,120,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1896
Growth,Medium,WITTENBURG TRUCK LINE INC,WITTENBURG TRUCK LINE INC,1931,12,10,RODNEY WITTENBURG,3192793371,wittruck@GMAIL.COM,READLYN,IA,50668,117 MALONE AVENUE,S,No,AUTHORIZED FOR HIRE,90,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1931
Starter,High,A-1 RELOCATION INC,A-1 RELOCATION INC,2030,9,10,,3033642684,khenderson@a-1relocation.com,AURORA,CO,80010,11701 E 33RD AVE,S,No,OTHER-UNKNOWN;AUTHORIZED FOR HIRE,65,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2030
Fleet,High,GARDA CL CENTRAL INC,GARDA CL CENTRAL INC,2046,137,84,PAOLA  MARACHLY,5619397000,paola.marachly@garda.com,BOCA RATON,FL,33431-7304,2000 NW CORPORATE BLVD,S,No,AUTHORIZED FOR HIRE,65,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2046
Growth,Medium,FRANKLIN EXPRESS INC,FRANKLIN EXPRESS INC,2061,24,25,RONALD MANTLO,2705863296,mantlo@franklinexp.com,FRANKLIN,KY,42134,2305 BOWLING GREEN RD,S,No,AUTHORIZED FOR HIRE,120,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2061
Growth,Medium,EDLIN BROTHERS INC,EDLIN BROTHERS INC,2075,19,10,DONALD R EDLIN,5025493420,edlinbrosinc@roadrunner.com,NEW HAVEN,KY,40051-9720,1637 LYONS STATION ROAD,S,No,AUTHORIZED FOR HIRE,95,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2075
Fleet,Medium,BURNS MOTOR FREIGHT INC,BURNS MOTOR FREIGHT INC,2413,65,43,JOHN B BURNS,3047996106,DOUG.BURNS@BURNSMOTORFREIGHT.COM,MARLINTON,WV,24954-0149,18750 SENECA TRAIL,S,No,AUTHORIZED FOR HIRE,120,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2413
Growth,Medium,RHODES BRICK & BLOCK INC,RHODES BRICK & BLOCK INC,2460,13,10,SHARON R RHODES,3047277062,Sherry@rhodesblock.co,SAINT ALBANS,WV,25177,107 INDUSTRIAL ROAD,S,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,65,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2460
Fleet,Medium,AE,ANDERSON ERICKSON DAIRY COMPANY,2489,175,195,T  WARREN ERICKSON,5152652521,michaelg@aedairy.com,DES MOINES,IA,50317,2420 E UNIVERSITY AVE,S,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,65,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2489
Fleet,Medium,BARTON SOLVENTS INC,BARTON SOLVENTS INC,2516,107,77,THOMAS BERKHEIMER,5152657998,TOMB@BARSOL.COM,DES MOINES,IA,50313,1920 NE BROADWAY,S,Yes,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,65,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2516
Growth,Medium,H & I TRUCKING LLC,H & I TRUCKING LLC,2575,11,8,JOSHUA STEFFENSEN,6052030472,JOANNSTEFFENSEN@YAHOO.COM,HETLAND,SD,57212,205 MAIN AVE,C,No,AUTHORIZED FOR HIRE,90,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2575
Growth,High,STAN ALLES TRANSPORT,STAN ALLES,2662,14,12,STAN ALLES,5598429424,stanley@STANALLESTRANSPORT .COM,FRESNO,CA,93723,4601 N JAMESON AVE,S,Yes,AUTHORIZED FOR HIRE,120,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2662
Growth,High,TREVIS BERRY TRANSPORTATION,TREVIS BERRY TRANSPORTATION,2955,49,45,DAVID D REYNOLDS,4088428238,info@trevisberry.com,GILROY,CA,95020,655 E LUCHESSA AVE,S,No,AUTHORIZED FOR HIRE,120,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2955
Growth,High,CROWN WORLDWIDE MOVING AND STORAGE LLC,CROWN WORLDWIDE MOVING AND STORAGE LLC,2970,25,18,CHRIS STATHIS,5106144105,chris.stathis@goarmstrong.com,UNION CITY,CA,94587,32001 DOWE AVE,S,No,AUTHORIZED FOR HIRE,65,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2970
Growth,High,COLONIAL VAN & STORAGE INC,COLONIAL VAN & STORAGE INC,2973,31,23,DOUGLAS B. WELTON,9163811372,dawn@colonialvan.com,SACRAMENTO,CA,95828,6001 88TH ST,S,Yes,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,95,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2973
Fleet,Medium,DFA,DAIRY FARMERS OF AMERICA INC,3042,407,394,RICH  BELMAREZ,9704753311,rbelmarez@dfamilk.com,KANSAS CITY,KS,66111-1865,1405 N 98TH ST,S,No,AUTHORIZED FOR HIRE,95,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3042
Fleet,High,MFA OIL OR MFA PROPANE,MFA OIL COMPANY,3051,640,466,TRACY BARTH,5738760381,TBARTH@MFAOIL.COM,COLUMBIA,MO,65201,ONE RAY YOUNG DRIVE,S,Yes,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,95,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3051
